,Beginning,Middle,End
High - No Visualisation,0.16,0.12,0.2
Medium - No Visualisation,0.36,0.52,0.48
Low - No Visualisation,0.48,0.36,0.32
High - Visualisation,0.116504854,0.12745098,0.21
Medium - Visualisation,0.485436893,0.588235294,0.55
Low Vis - Visualisation,0.398058252,0.284313725,0.24
